algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1577660157175;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;39;8;1901;417;1;0;0
P-DPOP;0;graphColoring_1577660157175;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;67;905;15765;647;1;0;0
P3/2-DPOP;0;graphColoring_1577660157175;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;618;1133;295371;21129;0;0;0
P2-DPOP;0;graphColoring_1577660157175;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;595;1132;284164;19906;1;0;0
MPC-DisCSP4;0;graphColoring_1577660157175;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;345;986;97868;4059;-1;null;0
DPOP;0;graphColoring_1577660163020;graphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;50;16;3804;417;1;0;0
P-DPOP;0;graphColoring_1577660163020;graphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;84;1810;31544;646;1;0;0
P3/2-DPOP;0;graphColoring_1577660163020;graphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;643;2242;558428;21161;0;0;0
P2-DPOP;0;graphColoring_1577660163020;graphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;752;2260;566878;19933;1;0;0
MPC-DisCSP4;0;graphColoring_1577660163020;graphColoring.xml;1;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1368;5892;532106;11221;-1;null;0
DPOP;0;graphColoring_1577660214308;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;71;8;1901;417;1;0;0
P-DPOP;0;graphColoring_1577660214308;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;88;905;15761;645;1;0;0
P3/2-DPOP;0;graphColoring_1577660214308;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;540;1103;254774;18067;0;0;0
P2-DPOP;0;graphColoring_1577660214308;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;627;1118;267209;18691;1;0;0
MPC-DisCSP4;0;graphColoring_1577660214308;graphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;532;986;97901;4064;-1;null;0
DPOP;0;graphColoring_1577660221628;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;55;16;3808;417;1;0;0
P-DPOP;0;graphColoring_1577660221628;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;69;1810;31432;646;1;0;0
P3/2-DPOP;0;graphColoring_1577660221628;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1204;2716;1418223;32231;0;0;0
P2-DPOP;0;graphColoring_1577660221628;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1064;2599;1197186;26701;2;0;0
MPC-DisCSP4;0;graphColoring_1577660221628;graphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;1135;5892;532076;11220;-1;null;0
DPOP;0;graphColoring_1577660233540;graphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;57;28;7167;477;2;0;0
P-DPOP;0;graphColoring_1577660233540;graphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;89;3618;62555;851;2;0;0
P3/2-DPOP;0;graphColoring_1577660233540;graphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;1537;5609;3640938;37770;0;0;0
P2-DPOP;0;graphColoring_1577660233540;graphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;1568;5816;3964025;40853;3;0;0
MPC-DisCSP4;0;graphColoring_1577660233540;graphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;3004;29316;2546421;32711;-1;null;0
DPOP;0;graphColoring_1577660275705;graphColoring.xml;3;3;2;6;0;0.4;0.0;0.4;0.0;0;48;41;10559;477;2;0;0
P-DPOP;0;graphColoring_1577660275705;graphColoring.xml;3;3;2;6;0;0.4;0.0;0.4;0.0;0;110;5426;94216;1417;3;0;0
P3/2-DPOP;0;graphColoring_1577660275705;graphColoring.xml;3;3;2;6;0;0.4;0.0;0.4;0.0;0;2026;9210;7035955;45170;0;0;0
P2-DPOP;0;graphColoring_1577660275705;graphColoring.xml;3;3;2;6;0;0.4;0.0;0.4;0.0;0;2680;9279;7300042;45165;4;0;0
